Arquivo,Almoxarifado_Origem_Arquivo,Grupo,Data,Id_Produto,Descricao,Sistema,Contagem,Divergencia_Qtd,Valor,Obs,Prejuizo,Hipotese_Sugerida
Movimentados - Ativa#U00e7#U00e3o 14.05.xlsm,Ativa#U,Produto Acabado,2026-05-13 00:00:00,05004149,Caixa de Bombons G (30 bombons),1,1,0,0,Item OK,Não,Outros / não categorizado
Movimentados - Ativa#U00e7#U00e3o 14.05.xlsx,Ativa#U,Produto Acabado,2026-05-13 00:00:00,05004149,Caixa de Bombons G (30 bombons),1,1,0,0,Item OK,Não,Outros / não categorizado
Movimentados - Geral 01.06.xlsm,Geral,Embalagem,2026-06-01 00:00:00,0190213112,Caixa Chocotone bites,14,0,-14,67.06,Embalagens com a Nicole,Não,Outros / não categorizado
Movimentados - Geral 01.06.xlsm,Geral,Embalagem,2026-06-01 00:00:00,0190213105,Sacolas de papel tamanho P (24A x 16L),116,51,-65,147.55,Recontar Amanhã,Não,Recontagem necessária
Movimentados - Geral 01.06.xlsm,Geral,Embalagem,2026-06-01 00:00:00,0190213106,Sacolas de papel tamanho M (32A x 23L),166,77,-89,279.46000000000004,Recontar Amanhã,Não,Recontagem necessária
Movimentados - Geral 01.06.xlsm,Geral,Embalagem,2026-06-01 00:00:00,0190213119,Sacola de Papel Tamanho G,177,122,-55,307.45,Recontar Amanhã,Não,Recontagem necessária
Movimentados - Geral 01.06.xlsm,Geral,Produto Acabado,2026-06-01 00:00:00,05004058,Barra ES Intenso Praliné de Avelã 80g,74,75,1,-4.666,Sobra de 1 Unidade,Não,Outros / não categorizado
Movimentados - Geral 01.06.xlsm,Geral,Produto Acabado,2026-06-01 00:00:00,05004015,MAGIO Língua de Onça ao Leite Cx80g,982,980,-2,13.028,Recontar Lote 0050401500005112026,Não,Recontagem necessária
Movimentados - Geral 01.06.xlsm,Geral,Produto Acabado,2026-06-01 00:00:00,05004002,PI Paiter Suruí 70% 60g,67,66,-1,4.3301,Sumiu 1 unidade do estoque,Sim,Perda não identificada (possível furto)
Movimentados - Geral 01.06.xlsm,Geral,Produto Acabado,2026-06-01 00:00:00,05004006,MAGIO PF Vale do Jari 65% 60g,195,144,-51,270.1215,Consumidos na produção de calda: 51,Sim,Outros / não categorizado
