numero_op,sku_produto_final,sku_material,descricao_material,qtd_consumo,qtd_previsto,qtd_diferenca,data_registro,data_producao,status
2014,9990311009,0140106805,Açúcar refinado,0.2856,0.2856,0,2026-06-22,2026-06-16,Produzida
2014,9990311009,9990111000,Agua Mineral sem gás,0,0.3486,-0.3486,2026-06-22,2026-06-16,Produzida
2014,9990311009,9990111004,Baunilha em Fava,0.0004,0.0004,0,2026-06-22,2026-06-16,Produzida
2014,9990311009,9990111007,Clara em Pó,0.0136,0.0136,0,2026-06-22,2026-06-16,Produzida
2014,9990311009,9990111008,Xarope de glucose,0.3204,0.3204,0,2026-06-22,2026-06-16,Produzida
2014,9990311009,9990111009,Gelatina incolor,0.0144,0.0144,0,2026-06-22,2026-06-16,Produzida
2014,9990311009,9990311038,Recheio Caramelo Maracujá,0.047,0.047,0,2026-06-22,2026-06-16,Produzida
2046,0050321024,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,3.808,3.808,0,2026-05-14,2026-05-12,Produzida
2046,0050321024,9990311030,Praliné de Avelã colagem,2.4117,1.4899,0.9218,2026-05-14,2026-05-12,Produzida
2046,0050321024,9990311038,Recheio Caramelo Maracujá,1.1,1.0997,0.0003,2026-05-14,2026-05-12,Produzida
2184,05004139,0050305014,PP LÍNGUA DE ONÇA 11G AO LEITE,1693,1695,-2,2026-06-09,2026-06-05,Produzida
2184,05004139,0050305014,PP LÍNGUA DE ONÇA 11G AO LEITE,1693,1695,-2,2026-06-10,2026-06-05,Produzida
2184,05004139,0190213090,Flowpack LO Leite,1693,1695,-2,2026-06-09,2026-06-05,Produzida
2184,05004139,0190213090,Flowpack LO Leite,1693,1695,-2,2026-06-10,2026-06-05,Produzida
2377,05104016,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.1355,0.1355,0,2026-05-22,2026-05-20,Produzida
2377,05104016,9990311041,Ganache maracujá,0.2,0.2033,-0.0033,2026-05-22,2026-05-20,Produzida
2378,9990311041,0020305008,Massa de Chocolate - Mocajuba Intenso,0.0517,0,0.0517,2026-05-22,2026-05-20,Produzida
2378,9990311041,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.0496,0.0092,0.0404,2026-05-22,2026-05-20,Produzida
2378,9990311041,0260305001,Massa de Chocolate - Moju Intenso,0,0.0824,-0.0824,2026-05-22,2026-05-20,Produzida
2378,9990311041,9990107001,MANTEIGA DE CACAU desodorizada,0.003,0.0015,0.0015,2026-05-22,2026-05-20,Produzida
2378,9990311041,9990111006,Manteiga de Leite,0.0106,0.0137,-0.0031,2026-05-22,2026-05-20,Produzida
2378,9990311041,9990111008,Xarope de glucose,0.0039,0.0168,-0.0129,2026-05-22,2026-05-20,Produzida
2378,9990311041,9990111021,DEXTROSE,0.0024,0.0229,-0.0205,2026-05-22,2026-05-20,Produzida
2378,9990311041,9990111023,Sorbitol em Pó,0.0083,0.0183,-0.01,2026-05-22,2026-05-20,Produzida
2378,9990311041,9990111053,MALTODEXTRINA DE10 1910,0.0018,0,0.0018,2026-05-22,2026-05-20,Produzida
2378,9990311041,9990111054,Sorbato de Potássio Granulado,0.0002,0,0.0002,2026-05-22,2026-05-20,Produzida
2378,9990311041,999011184,Maracujá Liofilizado,0,0.0024,-0.0024,2026-05-22,2026-05-20,Produzida
2378,9990311041,9990315025,Polpa de Maracujá Reduzida,0.0685,0.035,0.0335,2026-05-22,2026-05-20,Produzida
2494,05004140,0050305017,PP LÍNGUA DE ONÇA 11G INTENSO,2085,2085,0,2026-05-08,2026-05-05,Produzida
2494,05004140,0190213092,Flowpack LO Intenso,2117,2085,32,2026-05-08,2026-05-05,Produzida
3163,05104007,0020305008,Massa de Chocolate - Mocajuba Intenso,0.2475,0,0.2475,2026-05-18,2026-05-14,Produzida
3163,05104007,0260305001,Massa de Chocolate - Moju Intenso,0,0.2475,-0.2475,2026-05-18,2026-05-14,Produzida
3163,05104007,9990311030,Praliné de Avelã colagem,0.3025,0.3025,0,2026-05-18,2026-05-14,Produzida
4102,0050305019,0210305005,Massa de Cupuaçu  Sakaguchi - Reprocesso,1.18,0,1.18,2026-05-20,2026-05-19,Produzida
4102,0050305019,02104013,Sakaguchi Cupulate 50g,0,20.68,-20.68,2026-05-20,2026-05-19,Produzida
4101,05004141,0050305019,PP LÍNGUA DE ONÇA CUPUAÇU 11G,94,94,0,2026-05-22,2026-05-19,Produzida
4101,05004141,0190213094,Flowpack LO Cupulate,84,94,-10,2026-05-22,2026-05-19,Produzida
4100,9990311036,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.0541,0.0458,0.0083,2026-05-20,2026-05-20,Produzida
4100,9990311036,0140106804,Açúcar invertido,0.0054,0,0.0054,2026-05-20,2026-05-20,Produzida
4100,9990311036,9990107001,MANTEIGA DE CACAU desodorizada,0,0.0008,-0.0008,2026-05-20,2026-05-20,Produzida
4100,9990311036,9990111006,Manteiga de Leite,0.0064,0.0068,-0.0004,2026-05-20,2026-05-20,Produzida
4100,9990311036,9990111008,Xarope de glucose,0,0.0084,-0.0084,2026-05-20,2026-05-20,Produzida
4100,9990311036,9990111021,DEXTROSE,0,0.0114,-0.0114,2026-05-20,2026-05-20,Produzida
4100,9990311036,9990111023,Sorbitol em Pó,0,0.0092,-0.0092,2026-05-20,2026-05-20,Produzida
4100,9990311036,9990111026,Sal,0.0001,0,0.0001,2026-05-20,2026-05-20,Produzida
4100,9990311036,9990111053,MALTODEXTRINA DE10 1910,0.0001,0,0.0001,2026-05-20,2026-05-20,Produzida
4100,9990311036,9990111054,Sorbato de Potássio Granulado,0.0001,0,0.0001,2026-05-20,2026-05-20,Produzida
4100,9990311036,9990111059,Cupuaçu Liofilizado,0,0.004,-0.004,2026-05-20,2026-05-20,Produzida
4100,9990311036,9990315026,Polpa de Cupuaçu Reduzida,0.0331,0.0175,0.0156,2026-05-20,2026-05-20,Produzida
4099,05104018,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.077,0.077,0,2026-05-20,2026-05-20,Produzida
4099,05104018,9990311036,Ganache Cupuaçu,0.1,0.1155,-0.0155,2026-05-20,2026-05-20,Produzida
4098,05104122,0020305008,Massa de Chocolate - Mocajuba Intenso,0.2301,0,0.2301,2026-05-20,2026-05-20,Produzida
4098,05104122,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.1701,0,0.1701,2026-05-20,2026-05-20,Produzida
4097,0050305034,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,2.552,2.552,0,2026-05-20,2026-05-19,Produzida
4097,0050305034,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,2.552,2.552,0,2026-05-22,2026-05-19,Produzida
4097,0050305034,9990311031,Praliné Pistache colagem,3.828,3.828,0,2026-05-20,2026-05-19,Produzida
4097,0050305034,9990311031,Praliné Pistache colagem,3.828,3.828,0,2026-05-22,2026-05-19,Produzida
4096,05004143,0050305034,Barra Recheada Pistache 29g,220,220,0,2026-05-22,2026-05-19,Produzida
4096,05004143,0190213102,Flowpack ES Chocolate Lt Pistache 29g,220,220,0,2026-05-22,2026-05-19,Produzida
4095,0050321013,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,2.808,2.808,0,2026-05-20,2026-05-19,Produzida
4095,0050321013,9990311030,Praliné de Avelã colagem,3.592,3.592,0,2026-05-20,2026-05-19,Produzida
4094,05004057,0050321013,Barras com recheios - 80g  com praliné,80,80,0,2026-05-20,2026-05-20,Produzida
4094,05004057,0190213056,Envelope plastico transparente,80,80,0,2026-05-20,2026-05-20,Produzida
4094,05004057,0190213164,Caixa ES Ao Leite Praliné Avelã,80,80,0,2026-05-20,2026-05-20,Produzida
4094,05004057,019021424,CARTÃO QR,80,80,0,2026-05-20,2026-05-20,Produzida
4093,0050305017,0020305008,Massa de Chocolate - Mocajuba Intenso,1.089,0,1.089,2026-05-20,2026-05-19,Produzida
4093,0050305017,0260305001,Massa de Chocolate - Moju Intenso,0,1.089,-1.089,2026-05-20,2026-05-19,Produzida
4093,0050305017,9990307008,Pomada de manteiga de cacau,0,0.011,-0.011,2026-05-20,2026-05-19,Produzida
4092,05104027,0050305017,PP LÍNGUA DE ONÇA 11G INTENSO,100,100,0,2026-05-20,2026-05-19,Produzida
4091,0050305014,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,1.2343,1.089,0.1453,2026-05-20,2026-05-19,Produzida
4091,0050305014,9990307008,Pomada de manteiga de cacau,0,0.011,-0.011,2026-05-20,2026-05-19,Produzida
4090,05104026,0050305014,PP LÍNGUA DE ONÇA 11G AO LEITE,100,100,0,2026-05-20,2026-05-19,Produzida
4089,0100305002,0100303003,Nibs de Cacau - Paiter Suruí (RO),0.14,0.14,0,2026-05-20,2026-05-16,Produzida
4089,0100305002,0140106004,Açúcar Demerara,0.34,0.34,0,2026-05-20,2026-05-16,Produzida
4089,0100305002,03001001,Leite em Pó integral,0.28,0.28,0,2026-05-20,2026-05-16,Produzida
4089,0100305002,9990107001,MANTEIGA DE CACAU desodorizada,0.24,0.24,0,2026-05-20,2026-05-16,Produzida
4088,0100305001,0100303003,Nibs de Cacau - Paiter Suruí (RO),0.57,0.57,0,2026-05-20,2026-05-15,Produzida
4088,0100305001,0140106004,Açúcar Demerara,0.37,0.37,0,2026-05-20,2026-05-15,Produzida
