sku,origem,data_faturamento,quantidade,descricao
05104077,Alm_SP_Loja,2026-07-22,2,Biscoito Puxuri Chocolate - Unitário
05304008,Alm_SP_Loja,2026-07-22,2,Cappuccino Lingua de Onca Pequeno
05104077,Alm_SP_Loja,2026-07-22,1,Biscoito Puxuri Chocolate - Unitário
05304006,Alm_SP_Loja,2026-07-22,1,Cafe Expresso com Leite Pequeno
05104077,Alm_SP_Loja,2026-07-21,2,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2026-07-21,1,Cafe Expresso
05304030,Alm_SP_Loja,2026-07-21,1,Cafe Coado Pequeno
05104077,Alm_SP_Loja,2026-07-21,1,Biscoito Puxuri Chocolate - Unitário
05304006,Alm_SP_Loja,2026-07-21,1,Cafe Expresso com Leite Pequeno
05104077,Alm_SP_Loja,2026-07-21,2,Biscoito Puxuri Chocolate - Unitário
05104128,Alm_SP_Loja,2026-07-21,1,Língua de Onça ao Leite Zero Açúcar 11g
05304005,Alm_SP_Loja,2026-07-21,2,Cafe Expresso
05104077,Alm_SP_Loja,2026-07-21,2,Biscoito Puxuri Chocolate - Unitário
05104128,Alm_SP_Loja,2026-07-21,1,Língua de Onça ao Leite Zero Açúcar 11g
05304005,Alm_SP_Loja,2026-07-21,2,Cafe Expresso
05104020,Alm_SP_Loja,2026-07-21,1,Trufas Nativas de Chocolate Intenso  20G
05104077,Alm_SP_Loja,2026-07-21,2,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2026-07-21,2,Cafe Expresso
05104022,Alm_SP_Loja,2026-07-21,1,Trufas Nativas Pistache 20g
05104077,Alm_SP_Loja,2026-07-21,3,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2026-07-21,2,Cafe Expresso
05304044,Alm_SP_Loja,2026-07-21,1,Café Expresso Duplo
05004006,Alm_SP_Loja,2026-07-21,1,MAGIO Povos Vale do Jari 65% 60g
05004014,Alm_SP_Loja,2026-07-21,1,MAGIO Língua de Onça Intso Praliné Cx80g
05104016,Alm_SP_Loja,2026-07-21,1,"Bombom SF Leite Ganache de Maracujá 7,7g"
05104071,Alm_SP_Loja,2026-07-21,1,Bombom Bom Jardim Intenso 10g
05304043,Alm_SP_Loja,2026-07-21,1,Fatia de Bolo de Chocolate
05004016,Alm_SP_Loja,2026-07-21,1,MAGIO Lg de Onça Lt Praliné Avelã Cx80g
05004029,Alm_SP_Loja,2026-07-21,1,Caixa Folha Simples a Granel | 100g
05104128,Alm_SP_Loja,2026-07-21,1,Língua de Onça ao Leite Zero Açúcar 11g
05104129,Alm_SP_Loja,2026-07-21,1,Língua de Onça Intenso Zero Açúcar 11g
05304005,Alm_SP_Loja,2026-07-21,1,Cafe Expresso
05004158,Alm_SP_Loja,2026-07-21,1,Sorvete de Cupuaçu 100ml
05104008,Alm_SP_Loja,2026-07-21,1,Bombom ao Leite Praliné 10g
05104022,Alm_SP_Loja,2026-07-21,1,Trufas Nativas Pistache 20g
05104077,Alm_SP_Loja,2026-07-21,2,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2026-07-21,2,Cafe Expresso
05004140,Alm_SP_Loja,2026-07-21,1,Língua de Onça Intenso Flowpack 11g
05104128,Alm_SP_Loja,2026-07-21,1,Língua de Onça ao Leite Zero Açúcar 11g
0540001,Alm_SP_Loja,2026-07-21,1,Pão de queijo 70 gr
05104033,Alm_SP_Loja,2026-07-21,1,Formigueiro Caramelo de Maracujá 16g
05104039,Alm_SP_Loja,2026-07-21,1,Bombom SF Ganache de Taperebá Int 10g
05104077,Alm_SP_Loja,2026-07-21,1,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2026-07-21,1,Cafe Expresso
05104128,Alm_SP_Loja,2026-07-21,1,Língua de Onça ao Leite Zero Açúcar 11g
05004056,Alm_SP_Loja,2026-07-21,3,Barra ES Leite Praliné de Pistache 80g
05004057,Alm_SP_Loja,2026-07-21,1,Barra ES ao Leite Praliné de Avelã 80g
05004097,Alm_SP_Loja,2026-07-21,2,Barra ES Leite com Avelã e Maracujá 80g
05104016,Alm_SP_Loja,2026-07-21,1,"Bombom SF Leite Ganache de Maracujá 7,7g"
05104033,Alm_SP_Loja,2026-07-21,1,Formigueiro Caramelo de Maracujá 16g
05104036,Alm_SP_Loja,2026-07-21,3,Bombom SF Açaí 10g
05104059,Alm_SP_Loja,2026-07-21,1,Bombom SF Doce de Cupuaçu 10g
05104119,Alm_SP_Loja,2026-07-21,2,Bombom Mini Lua Cheia Choco ao Leite 10g
05004006,Alm_SP_Loja,2026-07-21,8,MAGIO Povos Vale do Jari 65% 60g
05104033,Alm_SP_Loja,2026-07-21,1,Formigueiro Caramelo de Maracujá 16g
05104077,Alm_SP_Loja,2026-07-21,1,Biscoito Puxuri Chocolate - Unitário
05304030,Alm_SP_Loja,2026-07-21,1,Cafe Coado Pequeno
05004007,Alm_SP_Loja,2026-07-21,1,MAGIO Povos Sakaguchi 78% 60g
05004097,Alm_SP_Loja,2026-07-21,1,Barra ES Leite com Avelã e Maracujá 80g
05104036,Alm_SP_Loja,2026-07-21,2,Bombom SF Açaí 10g
05104039,Alm_SP_Loja,2026-07-21,2,Bombom SF Ganache de Taperebá Int 10g
05104059,Alm_SP_Loja,2026-07-21,2,Bombom SF Doce de Cupuaçu 10g
05104071,Alm_SP_Loja,2026-07-21,2,Bombom Bom Jardim Intenso 10g
05004097,Alm_SP_Loja,2026-07-21,1,Barra ES Leite com Avelã e Maracujá 80g
05004157,Alm_SP_Loja,2026-07-21,1,Sorvete de Açaí 100ml
05104016,Alm_SP_Loja,2026-07-21,1,"Bombom SF Leite Ganache de Maracujá 7,7g"
05104071,Alm_SP_Loja,2026-07-21,1,Bombom Bom Jardim Intenso 10g
05104077,Alm_SP_Loja,2026-07-21,1,Biscoito Puxuri Chocolate - Unitário
05104128,Alm_SP_Loja,2026-07-21,1,Língua de Onça ao Leite Zero Açúcar 11g
05304005,Alm_SP_Loja,2026-07-21,1,Cafe Expresso
05004015,Alm_SP_Loja,2026-07-21,1,MAGIO Língua de Onça ao Leite Cx80g
05104022,Alm_SP_Loja,2026-07-21,1,Trufas Nativas Pistache 20g
05104033,Alm_SP_Loja,2026-07-21,1,Formigueiro Caramelo de Maracujá 16g
05304008,Alm_SP_Loja,2026-07-21,2,Cappuccino Lingua de Onca Pequeno
05004014,Alm_SP_Loja,2026-07-21,1,MAGIO Língua de Onça Intso Praliné Cx80g
05004178,Alm_SP_Loja,2026-07-21,1,MAGIO Povos Xiba 63% 60g
