sku_produto_final,produto_final,sku_item,descricao_item,qtd_padrao,unidade
00104009,Xiba - Chocolate 81% Cacau - 50g,0010301006,Amêndoa de Cacau Seca Aprovada - Xiba,0.028958,KG
00104009,Xiba - Chocolate 81% Cacau - 50g,0010302002,Amêndoa de Cacau Torrada - Xiba,0.04455,KG
00104009,Xiba - Chocolate 81% Cacau - 50g,0010303003,Nibs de Cacau - Xiba,0.0405,KG
00104009,Xiba - Chocolate 81% Cacau - 50g,0010304004,Liquor de Cacau - Xiba,0.0405,KG
00104009,Xiba - Chocolate 81% Cacau - 50g,0140106004,Açúcar Demerara,0.0095,KG
00104009,Xiba - Chocolate 81% Cacau - 50g,0010305005,Massa de Chocolate - Chocolate - Xiba,0.05,KG
00104009,Xiba - Chocolate 81% Cacau - 50g,0190213001,Embalagem - Barra de Chocolate - Xiba -,1,UN
00104009,Xiba - Chocolate 81% Cacau - 50g,0190214016,Cartão Surpresa - Prima Stampa,1,UN
00104009,Xiba - Chocolate 81% Cacau - 50g,0200216011,"Papel Chumbo - Cromus - 43,5cm x 59cm",0.16,UN
00104009,Xiba - Chocolate 81% Cacau - 50g,9970212003,ETIQ ADESIVA | PAPEL COUCHE A20-C | 30X3,1,UN
00104009,Xiba - Chocolate 81% Cacau - 50g,9970212004,ETIQ PIMACO A4348 LASER 100F 9600UND,1,UN
00104009,Xiba - Chocolate 81% Cacau - 50g,9990307005,Manteiga de Cacau Yanomami terc,0.002,KG
00104009,Xiba - Chocolate 81% Cacau - 50g,9990712002,ETIQUETA PARA QR CODE 40x40mm,1,UN
00104009,Xiba - Chocolate 81% Cacau - 50g,0070301006,Amêndoa de Cacau Seca Aprovada - Yanomam,0.002372,KG
00204009,Mocajuba - Chocolate 74% Cacau - 50g,0020301006,Amêndoa de Cacau Seca Aprovada - Mocajub,0.0407,KG
00204009,Mocajuba - Chocolate 74% Cacau - 50g,0020302002,Amêndoa de Cacau Torrada - Mocajuba (PA),0.0407,KG
00204009,Mocajuba - Chocolate 74% Cacau - 50g,0020303003,Nibs de Cacau - Mocajuba (PA),0.037,KG
00204009,Mocajuba - Chocolate 74% Cacau - 50g,0020304004,Liquor de Cacau - Mocajuba (PA),0.037,KG
00204009,Mocajuba - Chocolate 74% Cacau - 50g,0140106004,Açúcar Demerara,0.013,KG
00204009,Mocajuba - Chocolate 74% Cacau - 50g,0020305005,Massa de Chocolate - Chocolate - Mocajub,0.05,KG
00204009,Mocajuba - Chocolate 74% Cacau - 50g,0190213002,Embalagem - Barra de Chocolate - Mocajub,1,UN
