numero_op,sku_produto_final,descricao_produto,data_registro,data_producao,status,qtd_prevista,qtd_produzida,qtd_saldo
4732,05104079,Biscoito Puxuri Cupulate - unitário,2026-07-24,2026-07-24,Produzida,250,250,0
4731,05104077,Biscoito Puxuri Chocolate - Unitário,2026-07-24,2026-07-24,Produzida,250,250,0
4701,05004151,Caixa Simples SSAL 216g,2026-07-24,2026-07-24,Produzida,5,5,0
4735,0050305010,PP LÍNGUA DE ONÇA 5G PRALINÉ,2026-07-24,2026-07-23,Produzida,741,741,0
4703,05004178,MAGIO Povos Xiba 63% 60g,2026-07-23,2026-07-23,Produzida,100,100,0
4702,05004149,Caixa de Bombons G (30 bombons),2026-07-23,2026-07-23,Produzida,10,10,0
4682,05004148,Caixa de Bombons M (14 bombons),2026-07-23,2026-07-23,Produzida,40,40,0
4718,05104098,Bombom SSAL Choc Lt Doce Cupu 10 g,2026-07-24,2026-07-23,Produzida,20,20,0
4706,0050305020,PP Língua de Onça intenso Praliné 5G,2026-07-23,2026-07-23,Produzida,668,668,0
4719,9990311042,Recheio Doce de Cupuaçu,2026-07-24,2026-07-23,Produzida,0.11,0.11,0
4723,05104101,Bombom SSAL Choc Branco Nibs 8g,2026-07-24,2026-07-23,Produzida,20,20,0
4724,05104103,Bombom SSAL Choc Int Ganache Int 9g,2026-07-24,2026-07-23,Produzida,20,20,0
4725,9990311025,Ganache Chocolate intenso,2026-07-24,2026-07-23,Produzida,0.099,0.099,0
4726,05104104,Bombom SSAL Choc Int Taperebá 10g,2026-07-24,2026-07-23,Produzida,20,20,0
4728,9990311013,Ganache de Taperebá,2026-07-24,2026-07-23,Produzida,0.11,0.11,0
4734,05104061,Língua de Onça Leite Praliné 5g,2026-07-24,2026-07-23,Produzida,741,741,0
4721,05104099,Bombom SSAL Choc Lt Castanha do Pará 8g,2026-07-24,2026-07-23,Produzida,20,20,0
4705,05104063,Língua de Onça Intenso Praliné 5g,2026-07-23,2026-07-23,Produzida,668,668,0
4693,9990311042,Recheio Doce de Cupuaçu,2026-07-23,2026-07-22,Produzida,0.66,0.66,0
4692,05104115,Bombom NM Choc Lt  Doce de Cupuaçu 10g,2026-07-23,2026-07-22,Produzida,120,120,0
4691,05104114,Bombom NM Chocolate Leite Pistache 10g,2026-07-23,2026-07-22,Produzida,60,60,0
4685,0050305026,Mini Lua Cheia Ao Leite 10g,2026-07-23,2026-07-22,Produzida,120,120,0
4689,9990311025,Ganache Chocolate intenso,2026-07-23,2026-07-22,Produzida,0.363,0.363,0
4688,05104112,Bombom NM Choc Int Ganache Int 11g,2026-07-23,2026-07-22,Produzida,60,60,0
4687,05104111,Bombom NM Choc Int Praliné de Avelã 9g,2026-07-23,2026-07-22,Produzida,60,60,0
