sku,descricao,categoria_produto,unidade
0010302002,Amêndoa de Cacau Torrada - Xiba,Produto em Processo,KG
0010305005,Massa de Chocolate - Chocolate - Xiba,Produto em Processo,KG
0010305006,MASSA DE CHOCOLATE - - XIBA 2025,Produto em Processo,KG
0010305007,Massa de Chocolate Xiba Bom Jardim,Produto em Processo,PC
0010321001,Barra 60g Terroir da Amazonia XIBA,Produto em Processo,PC
00104007,Chocolate Xiba 81% cacau ( Amostra ),Produto Intermediario,KG
00104008,Massa de Cacau - Xiba - 1kg,Produto em Processo,KG
0020304004,Liquor de Cacau - Mocajuba (PA),Produto em Processo,KG
0020305005,Massa de Chocolate - Chocolate - Mocajub,Produto em Processo,KG
0020305006,MASSA DE CHOCOLATE  - MOCAJUBA (PA)2025,Produto em Processo,KG
0020305007,Massa de Chocolate Chocotone Mocajuba,Produto em Processo,KG
0020305008,Massa de Chocolate - Mocajuba Intenso,Produto em Processo,KG
0020315001,Bolo de Chocolate Loja,Produto em Processo,UN
0020315002,Massa Do Bolo de Chocolate,Produto em Processo,KG
0020315003,Recheio Intenso Bolo de Chocolate,Produto em Processo,KG
0020315004,Cobertura Bolo de Chocolate,Produto em Processo,KG
0020315005,Face mini Ovo Intenso,Produto em Processo,PC
0020302002,Amêndoa de Cacau Torrada - Mocajuba (PA),Produto em Processo,KG
00204007,Chocolate Mocajuba 74% cacau ( Amostra ),Produto em Processo,KG
00204008,Massa de Cacau - Mocajuba (PA) - 1kg,Produto em Processo,KG
00303007,Massa de Chocolate - Chocolate ao Leite,Produto em Processo,KG
00304008,Massa de Cacau - Jarí (PA) - 1kg,Produto em Processo,KG
00403005,Massa de Chocolate - Chocolate - Vale do,Produto em Processo,KG
0040305001,Massa de Chocolate ao leite Vale do Jari,Produto em Processo,KG
0040305007,Massa de Chocolate - Vale do Jari,Produto em Processo,KG
00404007,Chocolate Vale do Jarí 65% cacau ( Amost,Produto Intermediario,KG
0040302002,Amêndoa de Cacau Torrada - Vale do Jarí,Produto em Processo,KG
0040303003,Nibs de Cacau - Vale do Jarí (PA/AP),Produto em Processo,KG
0050305010,PP LÍNGUA DE ONÇA 5G PRALINÉ,Produto em Processo,PC
0050305013,PP LÍNGUA DE ONÇA 5G AO LEITE,Produto em Processo,PC
