sku,descricao,data_saida,data_entrada,documento,almoxarifado_origem,almoxarifado_destino,quantidade,lote
0010305007,Massa de Chocolate Xiba 63%,2026-07-21,2026-07-21,4370,Almox_SP_Fabrica,Almox_SP_Processo,12,010010304B000060326
0050303003,Nibs de Cacau - Sakaguchi(PA),2026-07-20,2026-07-20,4358,Almox_SP_Fabrica,Almox_SP_Processo,7.4,050010307G888890126
0050308014,Biscoito 150 gr com choco,2026-07-24,2026-07-24,4401,Almox_SP_Fabrica,Almox_SP_Processo,32,050010304U000050326
0050308015,Biscoito 150 gr com Cupu,2026-07-24,2026-07-24,4401,Almox_SP_Fabrica,Almox_SP_Processo,98,050010305Q000010326
0100305003,Gotas de Chocolate Paiter ao leite,2026-07-21,2026-07-21,4378,Almox_SP_Processo,Almox_SP_Fabrica,2.616,100010509L000010226
0100305004,Gotas de Chocolate Paiter Intenso,2026-07-21,2026-07-21,4377,Almox_SP_Processo,Almox_SP_Fabrica,2.68,100010509N000010126
0140106004,Açúcar Demerara,2026-07-20,2026-07-20,4360,Almox_SP_Fabrica,Almox_SP_Processo,7,B53L240426
0140106004,Açúcar Demerara,2026-07-24,2026-07-24,4401,Almox_SP_Fabrica,Almox_SP_Processo,8,B53L240426
0140106805,Açúcar refinado,2026-07-20,2026-07-20,4351,Almox_SP_Fabrica,Almox_SP_Processo,30,1260401183808
0140106805,Açúcar refinado,2026-07-24,2026-07-24,4401,Almox_SP_Fabrica,Almox_SP_Processo,15,1260401183708
01902120370,Embalagem caixa 4 bombons P,2026-07-20,2026-07-20,4367,Almox_SP_Fabrica,Almox_SP_Loja,27,26112050
01902120371,luva caixa 4 bombons P,2026-07-20,2026-07-20,4367,Almox_SP_Fabrica,Almox_SP_Loja,28,26112050
0190213051,Caixa Base  LO 80g,2026-07-21,2026-07-21,4370,Almox_SP_Fabrica,Almox_SP_Processo,600,0990213088889002026
0190213056,Envelope plastico transparente,2026-07-21,2026-07-21,4371,Almox_SP_Fabrica,Almox_SP_Processo,300,2394223
0190213057,Embalagem – mod. Envelope p/ barra,2026-07-21,2026-07-21,4370,Almox_SP_Fabrica,Almox_SP_Processo,300,   0213000001002026
0190213060,Berço termoformado LO,2026-07-21,2026-07-21,4370,Almox_SP_Fabrica,Almox_SP_Processo,600,R999000557001
0190213062,Caixa Biscoitos Fundo choco,2026-07-24,2026-07-24,4401,Almox_SP_Fabrica,Almox_SP_Processo,10,   0213000001002026
0190213063,Caixa Biscoitos luva choco,2026-07-24,2026-07-24,4401,Almox_SP_Fabrica,Almox_SP_Processo,26,   0213000001002026
0190213070,Caixa PI Paiter Suruí,2026-07-22,2026-07-22,4396,Almox_SP_Processo,Almox_SP_Fabrica,24,R999000239001
0190213074,Caixa Biscoitos Fundo cupu,2026-07-24,2026-07-24,4401,Almox_SP_Fabrica,Almox_SP_Processo,81,R999000239001
0190213075,Caixa Biscoitos luva cupu,2026-07-24,2026-07-24,4401,Almox_SP_Fabrica,Almox_SP_Processo,81,   0213000001002026
0190213101,Flowpack ES Chocolate Lt Maracujá 29g,2026-07-22,2026-07-22,4396,Almox_SP_Processo,Almox_SP_Fabrica,205,   0213100001002025
0190213102,Flowpack ES Chocolate Lt Pistache 29g,2026-07-22,2026-07-22,4396,Almox_SP_Processo,Almox_SP_Fabrica,129,   0213100001002025
0190213104,Folha papel barrado Mágio,2026-07-21,2026-07-21,4370,Almox_SP_Fabrica,Almox_SP_Processo,1000,   0213100001002025
0190213104,Folha papel barrado Mágio,2026-07-22,2026-07-22,4388,Almox_SP_Fabrica,Almox_SP_Processo,77,   0213100001002025
0190213107,Caixa mini Lua Cheia ao Leite 100g,2026-07-21,2026-07-21,4370,Almox_SP_Fabrica,Almox_SP_Processo,30,   0213100001002025
0190213116,Fundo Caixa 14 bombons,2026-07-21,2026-07-21,4370,Almox_SP_Fabrica,Almox_SP_Processo,40,   0213100001002025
0190213117,Caixa 30 bombons,2026-07-21,2026-07-21,4370,Almox_SP_Fabrica,Almox_SP_Processo,3,   0213100001002026
0190213124,Forminha para Bombons Caixas,2026-07-21,2026-07-21,4370,Almox_SP_Fabrica,Almox_SP_Processo,750,   0213100001002026
0190213125,Tampa Caixa 30 bombons,2026-07-21,2026-07-21,4370,Almox_SP_Fabrica,Almox_SP_Processo,3,   0213100001002026
0190213130,Berço Base Caixa 14 Bombons,2026-07-21,2026-07-21,4370,Almox_SP_Fabrica,Almox_SP_Processo,40,   0213100001002025
0190213131,Caixa SSAL SIMPLES,2026-07-22,2026-07-22,4389,Almox_SP_Fabrica,Almox_SP_Qualidade,8,V.19062026
0190213131,Caixa SSAL SIMPLES,2026-07-24,2026-07-24,4401,Almox_SP_Fabrica,Almox_SP_Processo,5,V.19062026
0190213132,Envelope SSAL,2026-07-24,2026-07-24,4401,Almox_SP_Fabrica,Almox_SP_Processo,5,   0213100001002026
0190213133,Berço interno caixa 14 bombons,2026-07-21,2026-07-21,4370,Almox_SP_Fabrica,Almox_SP_Processo,80,   0213100001002025
0190213133,Berço interno caixa 14 bombons,2026-07-22,2026-07-22,4390,Alm Box2,Almox_SP_Fabrica,790,   0213100001002025
